ID;UserID;timestamp;isVisible;version;changesetID;members;tags
R7564241;3029661;2017-09-11T07:26:43Z;true;1;51929848;"[W165877907=from,N122670528=via,W165877907=to]";"[restriction=no_u_turn,type=restriction]"
R6181776;1427293;2016-04-30T18:58:40Z;true;1;39004615;"[W414693514=outer,W414693515=inner]";"[lacounty:ain=4239027012,building:units=1,type=multipolygon,lacounty:bld_id=420283819432,building=house,ele=12.0,height=9.4,start_date=2006]"
R6181774;1427293;2016-04-30T18:58:39Z;true;1;39004615;"[W414693520=outer,W414693521=inner]";"[lacounty:ain=4239020035,building:units=26,type=multipolygon,lacounty:bld_id=419198820331,building=apartments,ele=14.8,height=11.1,start_date=1971]"
R6181775;1427293;2016-04-30T18:58:40Z;true;1;39004615;"[W414693517=outer,W414693513=inner]";"[lacounty:ain=4239010034,building:units=26,type=multipolygon,lacounty:bld_id=419000820369,building=apartments,ele=14.7,height=10.4,start_date=1971]"
R6181772;1427293;2016-04-30T18:58:39Z;true;1;39004615;"[W414693519=outer,W414693518=inner]";"[lacounty:ain=4286011012,building:units=21,type=multipolygon,lacounty:bld_id=418692820162,building=apartments,ele=10.1,height=6.5,start_date=1961]"
R6181773;1427293;2016-04-30T18:58:39Z;true;1;39004615;"[W414693512=outer,W414693516=inner]";"[lacounty:ain=4239026036,building:units=22,type=multipolygon,lacounty:bld_id=420079819994,building=apartments,ele=14.8,height=10.7,start_date=1971]"
R6181735;1427293;2016-04-30T18:23:24Z;true;1;39003988;"[W414685769=outer,W414685775=inner]";"[lacounty:ain=4239012046,building:units=15,type=multipolygon,lacounty:bld_id=420397821325,building=apartments,ele=18.6,height=11.1,start_date=1972]"
R6181736;1427293;2016-04-30T18:23:24Z;true;1;39003988;"[W414685767=outer,W414685774=inner]";"[lacounty:ain=4239025052,building:units=17,type=multipolygon,lacounty:bld_id=420922820445,building=apartments,ele=15.2,height=10.9,start_date=1970]"
R6181737;1427293;2016-04-30T18:23:24Z;true;1;39003988;"[W414685764=outer,W414685772=inner]";"[lacounty:ain=4239019021,building:units=1,type=multipolygon,lacounty:bld_id=420652821077,building=yes,ele=19.6,height=12.4,start_date=1967]"
R6107766;1586930;2016-04-28T18:08:20Z;true;2;38960487;"[W407951459=outer,W413150198=inner]";"[amenity=parking,type=multipolygon]"
