ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N4149575686;1586930;2016-04-26T15:43:04Z;true;1;38890998;33.9928542;-118.4755579;"[]"
N4153984718;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9890268;-118.4698582;"[]"
N4149575685;1586930;2016-04-26T15:43:04Z;true;1;38890998;33.9928525;-118.4758976;"[]"
N4153984719;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9890279;-118.4708504;"[]"
N4158144426;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9902863;-118.4641609;"[]"
N4158144427;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903082;-118.46425;"[]"
N4149575689;1586930;2016-04-26T15:43:04Z;true;1;38890998;33.9928625;-118.4757526;"[]"
N4158144428;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903098;-118.4642566;"[]"
N4158144429;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903124;-118.464141;"[]"
N4272765144;3272286;2016-06-30T06:10:13Z;true;1;40382321;33.9956141;-118.4739005;"[]"
N4272765143;3272286;2016-06-30T06:10:13Z;true;1;40382321;33.9953999;-118.4737367;"[]"
N4272765142;3272286;2016-06-30T06:10:13Z;true;1;40382321;33.9928649;-118.4706764;"[]"
N4149585001;1586930;2016-04-26T15:49:47Z;true;1;38891299;33.9921462;-118.4731363;"[]"
N4149585000;1586930;2016-04-26T15:49:47Z;true;1;38891299;33.9921424;-118.4731326;"[]"
N4149585014;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922444;-118.473449;"[]"
N4149585013;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922434;-118.4732247;"[]"
N4149585016;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922711;-118.4734702;"[]"
N4149585015;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922656;-118.4734659;"[]"
N4149585018;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922865;-118.4734426;"[]"
N4149585017;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922844;-118.4734319;"[]"
N4149575691;1586930;2016-04-26T15:43:04Z;true;1;38890998;33.9928626;-118.4748517;"[]"
N4149575690;1586930;2016-04-26T15:43:04Z;true;1;38890998;33.9928625;-118.4764897;"[]"
N4153984700;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9889858;-118.4703747;"[]"
N4149575695;1586930;2016-04-26T15:43:05Z;true;1;38890998;33.9928722;-118.4739566;"[]"
N4153984701;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9889863;-118.471513;"[]"
N4149575694;1586930;2016-04-26T15:43:05Z;true;1;38890998;33.9928707;-118.4760724;"[]"
N4153984702;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9889875;-118.4700871;"[]"
